uf,ano,tri,n,ncol,obj_ok,cid_col_presente,n_cid_principal_L732,filtro_consistente,base
CE,2022,3,370,62,TRUE,TRUE,370,TRUE,sia
CE,2022,4,423,62,TRUE,TRUE,423,TRUE,sia
CE,2023,1,481,62,TRUE,TRUE,481,TRUE,sia
CE,2023,2,510,62,TRUE,TRUE,510,TRUE,sia
CE,2023,3,478,62,TRUE,TRUE,478,TRUE,sia
CE,2023,4,617,62,TRUE,TRUE,617,TRUE,sia
CE,2024,1,642,62,TRUE,TRUE,642,TRUE,sia
CE,2024,2,737,62,TRUE,TRUE,737,TRUE,sia
CE,2024,3,843,62,TRUE,TRUE,843,TRUE,sia
CE,2024,4,958,62,TRUE,TRUE,958,TRUE,sia
CE,2025,1,1057,62,TRUE,TRUE,1057,TRUE,sia
CE,2025,2,1096,62,TRUE,TRUE,1096,TRUE,sia
CE,2025,3,804,62,TRUE,TRUE,804,TRUE,sia
CE,2025,4,758,62,TRUE,TRUE,758,TRUE,sia
DF,2020,1,26,62,TRUE,TRUE,26,TRUE,sia
DF,2020,2,40,62,TRUE,TRUE,40,TRUE,sia
DF,2020,3,68,62,TRUE,TRUE,68,TRUE,sia
DF,2020,4,77,62,TRUE,TRUE,77,TRUE,sia
DF,2021,1,93,62,TRUE,TRUE,93,TRUE,sia
DF,2021,2,95,62,TRUE,TRUE,95,TRUE,sia
DF,2021,3,129,62,TRUE,TRUE,129,TRUE,sia
DF,2021,4,172,62,TRUE,TRUE,172,TRUE,sia
DF,2022,1,205,62,TRUE,TRUE,205,TRUE,sia
DF,2022,2,204,62,TRUE,TRUE,204,TRUE,sia
DF,2022,3,213,62,TRUE,TRUE,213,TRUE,sia
DF,2022,4,234,62,TRUE,TRUE,234,TRUE,sia
DF,2023,1,242,62,TRUE,TRUE,242,TRUE,sia
DF,2023,2,247,62,TRUE,TRUE,247,TRUE,sia
DF,2023,3,250,62,TRUE,TRUE,250,TRUE,sia
DF,2023,4,260,62,TRUE,TRUE,260,TRUE,sia
DF,2024,1,305,62,TRUE,TRUE,305,TRUE,sia
DF,2024,2,310,62,TRUE,TRUE,310,TRUE,sia
DF,2024,3,304,62,TRUE,TRUE,304,TRUE,sia
DF,2024,4,350,62,TRUE,TRUE,350,TRUE,sia
DF,2025,1,369,62,TRUE,TRUE,369,TRUE,sia
DF,2025,2,403,62,TRUE,TRUE,403,TRUE,sia
DF,2025,3,426,62,TRUE,TRUE,426,TRUE,sia
DF,2025,4,301,62,TRUE,TRUE,301,TRUE,sia
ES,2020,1,17,62,TRUE,TRUE,17,TRUE,sia
ES,2020,2,19,62,TRUE,TRUE,19,TRUE,sia
ES,2020,3,27,62,TRUE,TRUE,27,TRUE,sia
ES,2020,4,38,62,TRUE,TRUE,38,TRUE,sia
ES,2021,1,55,62,TRUE,TRUE,55,TRUE,sia
ES,2021,2,66,62,TRUE,TRUE,66,TRUE,sia
ES,2021,3,82,62,TRUE,TRUE,82,TRUE,sia
ES,2021,4,86,62,TRUE,TRUE,86,TRUE,sia
ES,2022,1,100,62,TRUE,TRUE,100,TRUE,sia
ES,2022,2,101,62,TRUE,TRUE,101,TRUE,sia
ES,2022,3,121,62,TRUE,TRUE,121,TRUE,sia
ES,2022,4,118,62,TRUE,TRUE,118,TRUE,sia
ES,2023,1,129,62,TRUE,TRUE,129,TRUE,sia
ES,2023,2,145,62,TRUE,TRUE,145,TRUE,sia
ES,2023,3,159,62,TRUE,TRUE,159,TRUE,sia
